世代,個体No,実値,適応度, 係数0, 係数1, 係数2, 係数3, 係数4, 係数5, 係数6, 係数7, 係数8, 係数9
20,65,8.000,80.000,0.44,0.57,0.07,0.04,0.92,0.84,0.22,0.67,0.64,0.74
21,9,4.000,40.000,0.18,0.48,0.27,0.75,0.29,0.40,0.66,0.92,0.19,0.56
22,65,8.000,80.000,0.48,0.13,0.14,0.32,0.86,0.88,0.50,0.70,0.68,0.82
23,83,8.000,80.000,0.17,0.79,0.17,0.18,0.94,0.61,0.41,0.49,1.00,0.55
24,56,6.000,60.000,0.05,0.52,0.08,0.81,0.31,0.85,0.40,0.14,0.64,0.23
25,62,6.000,60.000,0.27,0.39,0.41,0.60,0.86,0.81,0.19,0.89,0.60,0.19
26,55,8.000,80.000,0.34,0.72,0.39,0.09,0.66,0.83,0.95,0.28,0.64,0.94
27,98,6.000,60.000,0.09,0.25,0.04,0.07,0.88,0.57,0.24,0.40,0.83,0.28
28,39,3.000,30.000,0.29,0.95,0.93,0.75,0.71,0.46,0.98,0.32,0.73,0.66
29,9,3.000,30.000,0.18,0.53,0.49,0.19,0.09,0.64,0.92,0.20,0.40,0.86
30,32,6.000,60.000,0.03,0.47,0.49,0.31,0.24,0.89,0.06,0.44,0.96,0.03
31,29,4.000,40.000,0.41,0.20,0.09,0.57,0.63,0.17,0.90,0.66,0.36,0.52
32,55,6.000,60.000,0.29,0.89,0.41,0.61,0.17,0.71,0.62,0.49,0.51,0.06
33,15,8.000,80.000,0.20,0.13,0.48,0.04,0.52,0.60,0.49,0.34,0.99,0.51
34,49,4.000,40.000,0.06,0.99,0.41,0.83,0.46,0.33,0.82,0.31,0.38,0.56
35,41,6.000,60.000,0.36,0.60,0.21,0.48,0.92,0.85,0.78,0.36,0.84,0.29
36,65,3.000,30.000,0.38,0.43,0.43,0.49,0.50,0.84,0.12,0.33,0.28,0.00
37,5,8.000,80.000,0.31,0.92,0.37,0.64,0.37,0.51,1.00,0.58,0.72,0.77
38,60,8.000,80.000,0.47,0.92,0.44,0.81,0.93,0.50,0.98,0.34,0.93,0.75
39,84,3.000,30.000,0.23,0.36,0.02,0.20,0.01,0.58,0.96,0.17,0.01,0.16
40,78,6.000,60.000,0.30,0.28,0.08,0.03,0.68,0.82,0.64,0.42,0.90,0.25
41,21,6.000,60.000,0.07,0.32,0.38,0.40,0.00,0.62,0.07,0.76,0.59,0.26
42,61,6.000,60.000,0.22,0.13,0.32,0.72,0.11,0.52,0.72,0.16,0.86,0.13
43,90,8.000,80.000,0.47,0.72,0.40,0.07,0.68,0.60,0.42,0.41,0.74,0.79
44,82,8.000,80.000,0.16,0.17,0.31,0.85,0.81,0.68,0.88,0.30,0.78,0.85
45,68,6.000,60.000,0.03,0.11,0.17,0.65,0.27,0.75,0.28,0.25,0.55,0.43
46,16,6.000,60.000,0.29,0.48,0.02,0.16,0.43,0.87,0.87,0.30,0.97,0.42
47,10,8.000,80.000,0.07,0.39,0.05,0.60,0.62,0.66,0.30,0.77,0.66,0.68
48,29,8.000,80.000,0.06,0.55,0.04,0.19,0.40,0.83,0.55,0.29,0.59,0.98
49,77,8.000,80.000,0.41,0.14,0.27,0.83,0.37,0.66,0.45,0.31,0.90,0.63
50,2,8.000,80.000,0.12,0.15,0.22,0.27,0.72,0.56,0.02,0.94,0.80,0.73
51,11,6.000,60.000,0.37,0.87,0.34,0.64,0.21,0.95,0.97,0.51,0.87,0.44
52,82,8.000,80.000,0.46,0.88,0.31,0.78,0.92,0.81,0.17,0.12,0.67,0.99
53,40,3.000,30.000,0.01,0.55,0.93,0.84,0.96,0.31,0.71,0.97,0.47,0.52
54,76,1.000,10.000,0.09,0.09,0.62,0.96,0.13,0.14,0.39,0.08,0.62,0.22
55,77,4.000,40.000,0.33,0.99,0.38,0.65,0.92,0.42,0.69,0.83,0.04,0.51
56,68,3.000,30.000,0.33,0.34,0.91,0.20,0.14,0.30,0.82,0.56,0.17,0.55
57,78,8.000,80.000,0.10,0.49,0.32,0.62,0.05,0.68,0.35,0.85,0.67,0.94
58,96,6.000,60.000,0.26,0.53,0.19,0.93,0.25,0.73,0.61,0.43,0.68,0.49
59,41,4.000,40.000,0.41,0.28,0.49,0.52,0.31,0.36,0.64,0.57,0.98,0.65
60,63,3.000,30.000,0.50,0.95,0.80,0.81,0.76,0.39,0.51,0.50,0.35,0.55
61,32,3.000,30.000,0.49,0.57,0.99,0.54,0.79,0.39,0.90,0.23,0.07,0.66
62,89,8.000,80.000,0.06,1.00,0.37,0.06,0.44,0.98,0.75,0.72,0.95,0.59
63,3,3.000,30.000,0.13,0.19,0.38,0.10,0.06,0.99,0.92,0.07,0.07,0.20
64,6,1.000,10.000,0.71,0.71,0.39,0.74,0.50,0.83,0.91,0.34,0.39,0.28
65,7,8.000,80.000,0.03,0.98,0.35,0.77,0.32,0.63,0.47,0.69,0.99,0.67
66,25,3.000,30.000,0.07,0.82,0.61,0.07,0.01,0.45,0.54,0.39,0.88,0.55
67,77,6.000,60.000,0.26,0.76,0.28,0.37,0.50,0.99,0.46,0.43,0.91,0.13
68,92,8.000,80.000,0.36,0.85,0.15,0.55,0.15,0.71,0.81,0.11,0.74,0.53
69,25,4.000,40.000,0.13,0.19,0.31,0.16,0.23,0.37,0.71,0.30,0.88,0.59
70,34,3.000,30.000,0.08,0.25,0.58,0.11,0.23,0.13,0.57,0.66,0.56,0.59
71,29,6.000,60.000,0.36,0.92,0.25,0.20,0.12,0.64,0.91,0.71,0.82,0.36
72,60,8.000,80.000,0.47,0.83,0.13,0.91,0.09,0.51,0.14,0.27,0.84,0.69
73,38,8.000,80.000,0.26,0.44,0.07,0.14,0.98,0.53,0.98,0.10,0.99,0.88
74,20,3.000,30.000,0.24,0.85,0.25,0.34,0.63,0.55,0.17,0.99,0.27,0.75
75,50,8.000,80.000,0.12,0.42,0.28,0.48,0.55,0.93,0.99,0.56,0.55,0.52
76,60,4.000,40.000,0.21,0.45,0.39,0.72,0.10,0.04,0.57,0.62,0.51,0.72
77,38,8.000,80.000,0.11,0.07,0.48,0.57,0.47,0.99,0.14,0.26,0.71,0.99
78,45,4.000,40.000,0.17,0.65,0.31,0.14,0.87,0.11,0.50,0.32,0.95,0.97
79,49,6.000,60.000,0.21,0.37,0.19,0.79,0.15,0.95,0.37,0.22,0.60,0.49
80,53,8.000,80.000,0.41,0.13,0.12,0.93,0.36,0.87,0.40,0.52,0.95,0.67
81,1,8.000,80.000,0.37,0.14,0.20,0.03,0.98,0.53,0.60,0.67,0.62,0.99
82,14,4.000,40.000,0.31,0.70,0.10,0.04,0.31,0.15,0.88,0.48,0.58,0.62
83,71,4.000,40.000,0.05,0.94,0.42,0.98,0.29,0.11,0.70,0.74,0.45,0.84
84,15,8.000,80.000,0.11,0.79,0.40,0.17,0.28,0.94,0.56,0.40,0.73,0.74
85,31,4.000,40.000,0.48,0.38,0.14,0.36,0.44,0.07,0.63,0.74,0.70,0.66
86,43,3.000,30.000,0.48,0.31,0.29,0.43,0.48,0.77,0.79,0.31,0.26,0.85
87,24,6.000,60.000,0.33,0.07,0.31,0.16,0.11,0.84,0.05,0.66,0.73,0.15
88,1,8.000,80.000,0.27,0.71,0.29,0.62,0.40,0.60,0.59,0.06,0.81,0.62
89,61,6.000,60.000,0.25,0.97,0.11,0.83,0.64,0.73,0.22,0.24,0.57,0.13
90,4,8.000,80.000,0.49,0.35,0.25,0.66,0.50,0.70,0.08,0.06,0.86,0.50
91,87,4.000,40.000,0.21,0.53,0.14,0.73,0.68,0.38,0.62,0.76,0.90,0.60
92,12,6.000,60.000,0.04,0.55,0.16,0.05,0.53,0.77,0.19,0.78,0.96,0.18
93,41,6.000,60.000,0.29,0.96,0.25,0.70,0.93,0.88,0.75,0.26,0.82,0.01
94,62,4.000,40.000,0.18,0.67,0.31,0.04,0.88,0.17,0.97,0.04,0.12,0.86
95,80,3.000,30.000,0.34,0.26,0.80,0.59,0.96,0.40,0.64,0.48,0.12,0.76
96,73,6.000,60.000,0.40,0.74,0.35,0.28,0.85,0.56,0.29,0.98,0.87,0.28
97,42,4.000,40.000,0.09,0.22,0.12,0.43,0.27,0.32,0.60,0.29,0.37,0.63
98,28,6.000,60.000,0.30,0.28,0.21,0.74,0.86,0.66,0.90,0.54,0.62,0.39
99,6,4.000,40.000,0.39,0.29,0.20,0.34,0.49,0.49,0.59,0.40,0.85,0.54
100,77,8.000,80.000,0.40,0.27,0.09,0.58,0.77,0.64,0.56,0.22,0.78,0.94
101,31,1.000,10.000,0.02,0.03,0.12,0.34,0.01,0.41,0.05,0.49,0.44,0.86
102,28,4.000,40.000,0.41,0.18,0.28,0.64,0.63,0.23,0.84,0.51,0.72,0.60
103,59,1.000,10.000,0.16,0.19,0.43,0.32,0.50,0.39,0.16,0.03,0.85,0.00
104,36,8.000,80.000,0.36,0.72,0.00,0.45,0.60,0.71,0.64,0.40,0.77,0.81
105,8,3.000,30.000,0.34,0.37,0.32,0.52,0.94,0.62,0.56,0.25,0.40,0.92
106,47,3.000,30.000,0.35,0.31,0.27,0.77,0.72,0.57,0.86,0.75,0.19,0.95
107,30,8.000,80.000,0.10,0.28,0.09,0.49,0.14,0.85,0.15,0.68,0.68,0.96
108,31,4.000,40.000,0.31,0.08,0.45,0.75,0.24,0.36,0.85,0.55,0.34,0.92
109,25,6.000,60.000,0.40,0.33,0.06,0.60,0.79,0.66,0.20,0.10,0.74,0.38
110,19,6.000,60.000,0.17,0.43,0.42,0.02,0.34,0.91,0.51,0.46,0.91,0.13
111,36,4.000,40.000,0.29,0.32,0.47,0.03,0.74,0.13,0.69,0.02,0.52,0.85
112,37,6.000,60.000,0.31,0.39,0.36,0.59,0.16,1.00,0.33,0.58,0.78,0.08
113,73,4.000,40.000,0.49,0.91,0.50,0.79,0.42,0.41,0.74,0.52,0.87,0.95
114,55,6.000,60.000,0.05,0.96,0.02,0.54,0.73,0.74,0.35,0.19,0.67,0.45
115,42,6.000,60.000,0.05,0.63,0.13,0.05,0.71,0.56,0.62,0.70,0.60,0.31
116,21,3.000,30.000,0.24,0.83,0.04,0.16,0.90,0.57,0.63,0.13,0.05,1.00
117,36,8.000,80.000,0.21,0.88,0.13,0.27,0.47,0.79,0.78,0.87,0.63,0.73
118,40,3.000,30.000,0.02,0.13,0.37,0.09,0.56,0.52,0.13,0.11,0.37,0.57
119,32,8.000,80.000,0.35,0.42,0.03,0.75,0.99,0.87,0.06,0.51,0.50,0.87
120,63,6.000,60.000,0.49,0.50,0.15,0.02,0.64,0.91,0.34,0.64,0.67,0.20
121,9,1.000,10.000,0.67,0.79,0.13,0.60,0.64,0.95,0.37,0.94,0.90,0.50
122,14,6.000,60.000,0.37,0.36,0.17,1.00,0.62,0.53,0.96,0.28,0.68,0.18
123,1,3.000,30.000,0.17,0.16,0.33,0.90,0.09,0.55,0.67,0.31,0.24,0.07
124,35,4.000,40.000,0.46,0.77,0.38,0.91,0.91,0.36,0.76,0.19,0.46,0.61
125,27,1.000,10.000,0.78,0.83,0.11,0.27,0.25,0.72,0.94,0.86,0.30,0.67
126,67,8.000,80.000,0.04,0.34,0.13,0.18,0.86,0.73,0.25,0.60,0.91,0.67
127,8,3.000,30.000,0.38,0.37,0.59,0.66,0.08,0.00,0.78,0.45,0.69,0.79
128,96,6.000,60.000,0.15,0.38,0.38,0.54,0.38,0.56,0.95,0.67,0.83,0.44
129,92,3.000,30.000,0.13,0.51,0.36,0.13,0.32,0.60,0.91,0.69,0.37,0.99
130,35,8.000,80.000,0.19,0.58,0.11,0.11,0.15,0.52,0.90,0.74,0.84,0.97
131,74,4.000,40.000,0.05,0.88,0.26,0.10,0.83,0.32,0.91,0.76,0.89,0.86
132,56,4.000,40.000,0.04,0.56,0.03,0.87,0.55,0.25,0.95,0.62,0.16,0.79
133,34,6.000,60.000,0.25,0.63,0.10,0.17,0.57,0.98,0.10,0.63,0.51,0.38
134,46,8.000,80.000,0.45,0.25,0.08,0.97,0.85,0.95,0.33,0.72,0.67,0.94
135,48,6.000,60.000,0.21,0.08,0.43,0.18,0.99,0.61,0.13,0.90,0.56,0.44
136,58,3.000,30.000,0.07,0.83,0.03,0.44,0.86,0.58,0.89,0.15,0.10,0.34
137,88,4.000,40.000,0.06,0.44,0.37,0.26,0.85,0.10,0.61,0.88,0.03,0.95
138,51,3.000,30.000,0.25,0.19,0.21,0.29,0.27,0.76,0.01,0.65,0.20,0.81
139,74,3.000,30.000,0.39,0.63,0.57,0.02,0.02,0.19,0.59,0.90,0.27,0.69
140,52,3.000,30.000,0.18,0.81,0.41,0.63,0.99,0.90,0.85,0.93,0.40,0.24
141,21,8.000,80.000,0.41,0.48,0.49,0.86,0.46,0.51,0.42,0.79,0.84,0.57
142,88,6.000,60.000,0.20,0.62,0.03,0.39,0.61,0.58,0.31,0.41,0.83,0.39
143,68,4.000,40.000,0.48,0.32,0.36,0.03,0.34,0.49,0.66,0.88,0.43,0.71
144,84,8.000,80.000,0.05,0.57,0.28,0.89,0.81,0.65,0.37,0.63,0.61,0.97
145,43,8.000,80.000,0.43,0.92,0.30,0.57,0.43,0.96,0.36,0.67,0.56,0.88
146,95,8.000,80.000,0.01,0.92,0.17,0.57,0.74,0.69,0.62,0.99,0.85,1.00
147,4,3.000,30.000,0.13,0.08,0.03,0.67,0.67,0.62,0.22,0.70,0.07,0.66
148,61,8.000,80.000,0.28,0.60,0.44,0.99,0.00,0.86,0.16,0.09,0.82,0.90
149,53,8.000,80.000,0.14,0.69,0.44,0.81,0.42,0.95,0.69,0.91,0.74,0.93
150,54,3.000,30.000,0.16,0.54,0.63,0.79,0.34,0.33,0.72,0.47,0.33,0.61
151,18,4.000,40.000,0.22,0.90,0.04,0.58,0.68,0.45,0.58,0.21,0.98,0.94
152,35,4.000,40.000,0.15,0.25,0.06,0.58,0.05,0.08,0.51,0.55,0.69,0.85
153,33,3.000,30.000,0.46,0.27,0.18,0.36,0.23,0.98,0.98,0.95,0.37,0.45
154,37,4.000,40.000,0.06,0.98,0.09,0.09,0.96,0.12,0.54,0.76,0.30,0.87
155,37,8.000,80.000,0.42,0.13,0.28,0.65,0.12,0.96,0.78,0.53,0.77,0.51
156,34,4.000,40.000,0.34,0.42,0.02,0.61,0.64,0.31,0.69,0.22,0.94,0.97
157,95,6.000,60.000,0.21,0.38,0.13,0.63,0.85,0.55,0.85,0.87,0.78,0.06
158,53,8.000,80.000,0.15,0.40,0.31,0.86,0.35,0.63,0.94,0.07,0.91,0.97
159,11,8.000,80.000,0.08,0.35,0.49,0.91,0.67,0.78,0.57,0.05,0.65,0.72
160,6,6.000,60.000,0.13,0.00,0.30,0.32,0.55,0.76,0.45,0.60,0.55,0.29
161,95,8.000,80.000,0.09,0.08,0.31,0.60,0.46,0.62,0.80,0.05,0.63,0.80
162,16,8.000,80.000,0.45,0.02,0.15,0.42,0.14,0.57,0.57,0.57,0.60,0.76
163,10,3.000,30.000,0.13,0.48,0.23,0.53,0.87,0.60,0.15,0.85,0.32,0.95
164,33,4.000,40.000,0.25,0.19,0.35,0.96,0.74,0.50,0.74,0.08,0.09,0.62
165,6,6.000,60.000,0.14,0.13,0.32,0.24,0.37,0.71,0.14,0.53,0.63,0.24
166,2,8.000,80.000,0.32,0.90,0.46,0.60,0.71,0.95,0.34,0.57,0.71,0.95
167,46,6.000,60.000,0.02,0.63,0.17,0.57,0.84,0.93,0.69,0.38,0.87,0.49
168,51,8.000,80.000,0.41,0.94,0.13,0.91,0.55,0.70,0.47,0.71,0.93,0.60
169,51,3.000,30.000,0.26,0.54,0.36,0.00,0.74,0.87,0.81,0.97,0.48,0.18
170,3,8.000,80.000,0.13,0.67,0.17,0.90,0.66,0.68,0.94,0.36,0.52,0.80
171,45,3.000,30.000,0.24,0.29,0.03,0.17,0.58,0.55,0.98,0.23,0.10,0.13
172,14,1.000,10.000,0.12,0.31,0.23,0.90,0.10,0.09,0.29,0.22,0.37,0.09
173,27,6.000,60.000,0.38,0.54,0.35,0.95,0.52,0.53,0.53,0.60,0.56,0.04
174,80,3.000,30.000,0.47,0.52,0.05,0.50,0.23,0.76,0.94,0.03,0.16,0.95
175,56,3.000,30.000,0.47,0.44,0.14,0.95,0.88,0.62,0.27,0.36,0.41,0.08
176,87,6.000,60.000,0.04,0.11,0.02,0.21,0.93,0.59,0.60,0.93,0.63,0.10
177,65,8.000,80.000,0.04,0.95,0.13,0.84,0.85,0.75,0.73,0.06,0.58,0.66
178,11,8.000,80.000,0.01,0.93,0.39,0.74,0.36,0.55,0.98,0.27,0.76,0.88
179,61,4.000,40.000,0.01,0.85,0.04,0.22,0.50,0.07,0.80,0.89,0.73,0.94
180,60,6.000,60.000,0.11,0.10,0.45,0.36,0.23,0.75,0.38,0.26,0.98,0.49
181,46,6.000,60.000,0.40,0.75,0.20,0.66,0.06,0.89,0.11,0.80,0.73,0.45
182,48,3.000,30.000,0.31,0.44,0.33,0.88,0.01,0.96,0.72,0.65,0.19,0.42
183,54,4.000,40.000,0.11,0.46,0.32,0.75,0.70,0.40,0.67,0.39,0.62,0.52
184,91,6.000,60.000,0.44,0.21,0.49,0.31,0.89,0.93,0.08,0.48,0.59,0.33
185,69,8.000,80.000,0.05,0.74,0.11,0.07,0.32,0.50,0.90,0.88,0.83,0.66
186,49,8.000,80.000,0.39,0.12,0.11,0.96,0.43,0.67,0.17,0.31,0.54,0.91
187,97,4.000,40.000,0.35,0.27,0.20,0.13,0.36,0.29,0.63,0.65,0.76,0.75
188,53,8.000,80.000,0.24,0.82,0.40,0.22,0.73,0.56,0.57,0.97,0.89,0.77
189,33,6.000,60.000,0.20,0.86,0.31,0.36,0.95,0.62,0.77,0.34,0.99,0.16
190,41,1.000,10.000,0.54,0.71,0.02,0.35,0.44,0.69,0.47,0.98,0.31,0.26
191,20,6.000,60.000,0.33,0.34,0.32,0.70,0.67,0.67,0.10,0.29,0.77,0.10
192,84,6.000,60.000,0.04,0.92,0.19,0.33,0.69,0.95,0.79,0.05,0.69,0.17
193,52,6.000,60.000,0.24,0.62,0.44,0.07,0.15,0.62,0.94,0.39,0.65,0.04
194,71,8.000,80.000,0.31,0.56,0.40,0.83,0.00,0.74,0.22,0.34,0.66,0.71
195,10,6.000,60.000,0.28,0.38,0.48,0.36,0.70,0.61,0.25,0.09,0.58,0.37
196,45,6.000,60.000,0.31,0.70,0.05,0.05,0.24,1.00,0.65,0.73,0.54,0.20
197,42,4.000,40.000,0.32,0.04,0.22,0.95,0.32,0.42,0.67,0.02,0.69,0.72
198,61,8.000,80.000,0.04,0.52,0.18,0.70,0.56,0.85,0.22,0.81,0.94,0.66
199,75,8.000,80.000,0.11,0.64,0.13,0.73,0.62,0.73,0.24,0.73,0.98,0.67
200,68,8.000,80.000,0.12,0.96,0.42,0.36,0.64,0.53,0.24,0.57,0.53,0.86
201,47,3.000,30.000,0.22,0.78,0.56,0.23,0.00,0.08,0.54,0.10,0.71,0.84
202,14,8.000,80.000,0.31,0.14,0.04,0.90,0.17,0.81,0.27,0.98,0.79,0.76
203,34,6.000,60.000,0.20,0.17,0.28,0.19,0.12,0.93,0.77,0.09,0.75,0.06
204,33,8.000,80.000,0.47,0.50,0.16,0.78,0.32,0.75,0.02,0.42,0.99,0.96
205,3,8.000,80.000,0.11,0.60,0.08,0.55,0.11,0.76,0.34,0.10,0.98,0.85
206,93,6.000,60.000,0.22,0.84,0.27,0.99,0.07,0.73,0.89,0.95,0.59,0.08
207,24,3.000,30.000,0.42,0.58,0.25,0.03,0.72,0.67,0.93,0.75,0.05,0.74
208,74,8.000,80.000,0.19,0.13,0.40,0.76,0.02,0.64,0.09,0.28,0.69,0.70
209,34,3.000,30.000,0.27,0.47,0.71,0.91,0.64,0.36,0.67,0.80,0.97,0.81
210,37,4.000,40.000,0.38,0.37,0.12,0.31,0.95,0.16,0.75,0.24,0.12,0.80
211,14,8.000,80.000,0.31,0.59,0.42,0.39,0.75,0.52,0.91,0.26,0.61,0.77
212,67,3.000,30.000,0.06,0.99,0.54,0.80,0.28,0.29,0.90,0.49,0.51,0.92
213,40,3.000,30.000,0.44,0.05,0.61,1.00,0.34,0.29,1.00,0.86,0.29,0.68
214,94,4.000,40.000,0.33,0.16,0.24,0.93,0.28,0.23,0.64,0.60,0.68,0.79
215,74,1.000,10.000,0.78,0.90,0.39,0.40,0.87,0.86,0.38,0.67,0.34,0.09
216,64,6.000,60.000,0.10,0.22,0.13,0.16,0.25,0.90,0.90,0.81,0.75,0.07
217,11,8.000,80.000,0.22,0.20,0.10,0.73,0.45,0.82,0.36,0.54,0.74,0.53
218,3,6.000,60.000,0.47,0.70,0.37,0.72,0.09,0.81,0.29,0.83,0.69,0.35
219,42,4.000,40.000,0.36,0.81,0.04,0.08,0.75,0.21,0.87,0.37,0.32,0.52
220,4,8.000,80.000,0.37,0.45,0.47,0.12,0.17,0.73,0.14,0.37,0.96,0.91
221,87,6.000,60.000,0.22,0.99,0.15,0.50,0.35,0.73,0.23,0.70,0.74,0.46
222,66,8.000,80.000,0.11,0.07,0.33,0.63,0.35,0.78,0.77,0.33,0.64,0.85
223,7,3.000,30.000,0.25,0.56,0.06,0.84,0.82,0.59,0.66,0.73,0.41,0.29
224,43,3.000,30.000,0.47,0.13,0.26,0.40,0.71,0.63,0.46,0.12,0.49,0.84
225,44,6.000,60.000,0.28,0.66,0.25,0.26,0.48,0.99,0.13,0.02,0.73,0.25
226,91,6.000,60.000,0.20,0.15,0.40,0.01,0.00,0.82,0.24,0.02,0.65,0.31
227,83,4.000,40.000,0.26,0.34,0.42,0.38,0.13,0.02,0.97,0.13,0.60,0.67
228,34,4.000,40.000,0.31,0.22,0.20,0.27,0.46,0.44,0.56,0.18,0.99,0.65
229,54,3.000,30.000,0.10,0.73,0.47,0.68,0.93,0.89,0.81,0.17,0.14,0.48
230,63,6.000,60.000,0.44,0.09,0.47,0.47,0.68,0.94,0.95,0.06,0.54,0.50
231,3,3.000,30.000,0.28,0.74,0.07,0.03,0.13,0.55,0.23,0.63,0.26,0.74
232,54,3.000,30.000,0.45,0.95,0.64,0.21,0.71,0.16,0.65,0.49,0.47,0.88
233,2,3.000,30.000,0.05,0.43,0.04,0.22,0.74,0.86,0.70,0.98,0.00,0.47
234,2,3.000,30.000,0.34,0.53,0.19,0.57,0.79,0.52,0.68,0.81,0.33,0.76
235,8,8.000,80.000,0.03,0.58,0.38,0.56,0.67,0.87,0.88,0.40,0.86,0.84
236,73,4.000,40.000,0.20,0.19,0.40,0.01,0.95,0.44,0.62,0.54,0.41,0.65
237,99,8.000,80.000,0.02,0.42,0.08,0.18,0.15,0.64,0.06,0.22,0.74,0.95
238,52,8.000,80.000,0.20,0.46,0.09,0.13,0.02,0.58,0.13,0.51,0.51,0.78
239,46,6.000,60.000,0.10,0.46,0.04,0.74,0.53,0.60,0.06,0.33,0.97,0.50
240,81,3.000,30.000,0.01,0.28,0.28,0.24,0.94,0.67,0.96,0.70,0.38,0.11
241,82,8.000,80.000,0.38,0.87,0.26,0.93,0.36,0.76,0.30,0.44,0.94,0.90
242,72,8.000,80.000,0.42,0.58,0.49,0.81,0.43,0.81,0.34,0.21,0.85,0.69
243,26,8.000,80.000,0.14,0.95,0.27,0.54,0.95,0.61,0.27,0.72,0.78,0.63
244,55,6.000,60.000,0.40,0.90,0.32,0.04,0.16,0.56,0.95,0.49,0.97,0.30
245,52,6.000,60.000,0.17,0.39,0.13,0.33,0.93,0.88,0.20,0.14,0.94,0.47
246,87,4.000,40.000,0.20,0.95,0.22,0.97,0.42,0.18,0.54,0.86,0.62,0.54
247,76,8.000,80.000,0.00,0.20,0.45,0.85,0.91,0.83,0.29,0.20,0.71,0.87
248,52,8.000,80.000,0.39,0.47,0.02,0.60,0.23,0.91,0.39,0.13,0.66,0.51
249,8,3.000,30.000,0.20,0.82,0.85,0.19,0.35,0.47,0.80,0.09,0.31,0.55
250,56,6.000,60.000,0.08,0.07,0.07,0.12,0.84,0.69,0.89,0.79,0.57,0.08
251,37,8.000,80.000,0.46,0.54,0.46,0.99,0.79,0.54,0.18,0.03,0.80,0.79
252,69,4.000,40.000,0.09,0.52,0.10,0.35,0.12,0.03,0.98,0.80,0.52,0.56
253,44,8.000,80.000,0.46,0.24,0.29,0.61,0.48,0.68,0.89,0.44,0.81,0.72
254,3,8.000,80.000,0.04,0.91,0.26,0.37,0.87,0.79,0.00,0.85,0.88,0.97
255,40,6.000,60.000,0.26,0.77,0.35,0.02,0.09,0.98,0.99,0.24,0.84,0.12
256,36,8.000,80.000,0.17,0.66,0.17,0.77,0.15,0.80,0.18,0.89,0.57,0.88
257,36,8.000,80.000,0.45,0.36,0.22,0.20,0.58,0.98,0.90,0.89,0.63,0.51
258,95,8.000,80.000,0.26,0.56,0.07,0.77,0.63,0.68,1.00,0.48,0.56,0.85
259,21,4.000,40.000,0.07,0.76,0.23,0.41,0.71,0.27,0.95,0.96,0.16,0.72
260,15,8.000,80.000,0.05,0.62,0.05,0.28,0.37,0.94,0.16,0.55,0.96,0.97
261,9,3.000,30.000,0.50,0.87,0.34,0.84,0.68,0.84,0.66,0.35,0.19,0.70
262,33,3.000,30.000,0.12,0.23,0.38,0.35,0.59,0.82,0.67,0.86,0.34,0.41
263,21,8.000,80.000,0.03,0.66,0.36,0.54,0.83,0.95,0.80,0.07,0.76,0.95
264,22,6.000,60.000,0.04,0.78,0.42,0.30,0.81,0.77,0.47,0.75,0.88,0.29
265,20,8.000,80.000,0.22,0.07,0.42,0.17,0.09,0.88,0.02,0.48,0.80,0.63
